カテゴリ,授業名,授業内容,開講日時,担当教員,評価基準,難易度_単位,難易度_成績,A+,A,B,C,F
社会科学科目,政治学とDS,２年生向け。政治学の基本を学習する。データサイエンス要素無し。,秋 火１金１,WOO YU JIN,授業参加 小テスト 期末試験,2,3,,,,,
社会科学科目,国際政治とDS,CAP制限外。教授言語が英語。,集中 冬2,Shir Shapira,授業参加 レポート,3,3,,,,,
社会科学科目,心理学とDS,２年生向け。心理学の歴史を中心に扱う。出席必須ではないが加点要素のため成績が欲しい場合は毎回出ることを推奨。,冬 月２木２,福田玄明,授業参加 レポート,1,2,6.5,21.7,54.3,6.5,10.9
社会科学科目,データに基づく経営意思決定,３年生向け。,冬 月３木３,永山晋,,4,4,,,,,
社会科学科目,技術経営論,３年生向け。教授言語が英語。,集中 冬1,Cornelia Lawson,,,,,,,,
社会科学科目,マーケティングサイエンス,３年生向け。,夏 月２木２,加藤諒,,1,3,,,,,
社会科学科目,先端情報システム論,３年生向け。,冬 火３金３,坂野遼平,,3,,,,,,
社会科学科目,金融市場データ分析,３年生向け。,夏 火２金２,渡部敏明,,4,4,,,,,
社会科学科目,空間・不動産データ分析,３年生向け。Ｒを用いた地理的なデータ分析を扱う。,秋冬 水３,高野佳佑,レポート,2,2,,,,,
社会科学科目,エビデンスに基づく科学技術政策,３年生向け。,春夏 金２,七丈直弘,プレゼン レポート,2,2,,,,,
社会科学科目,長期経済統計と日本経済のデータ分析,３年生向け。,集中 冬2,高島正憲,,,,,,,,
社会科学科目,計量政治学,３年生向け。,春 月２木２,WOO YU JIN,授業参加 期末試験,2,2,,,,,
社会科学科目,医療データ分析,３年生向け。,秋冬 木３,松井茂之,小テスト レポート,2,,,,,,
社会科学科目,持続的発展のためのデータ分析,３年生向け。,集中 夏1,飯塚倫子,,,,,,,,
データサイエンス科目,線形代数Ⅰ,【2025年度情報】2026年度の開講日時・担当教員は未確定。1年生必修。自動登録。高校数学のベクトルを発展させたくらいなので、内容は優しめ。,春夏 火２,礒島伸,レポート 期末試験,2,2,11.6,26.1,34.8,13,14.5
データサイエンス科目,線形代数Ⅱ,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。「線形代数Ⅰ」からやや難易度が上がる。高校の貯めでは何ともならないので対策必須。,秋冬 火２,篠原克寿,中間試験 期末試験,3,3,11.1,23.6,22.2,12.5,30.6
データサイエンス科目,微分積分Ⅰ,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。高校数学の数３に毛が生えた程度なので元理系にとっては楽。,春夏 金２,石村直之,中間試験 期末試験,1,2,13.9,23.6,43.1,6.9,12.5
データサイエンス科目,微分積分Ⅱ,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。２変数の微分や積分を扱うので「微分積分Ⅰ」よりは難しい。万全の対策をしよう。,秋冬 金２,石村直之,中間試験 期末試験,1,3,6.5,23.4,27.3,32.5,10.4
データサイエンス科目,統計,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。学部発展科目であるがなぜか１年生必修になっている。難しいので対策必須。統計検定２級の教科書がオススメ。,秋冬 木２,坂野遼平,授業参加 レポート 期末試験,2,3,10.3,16.2,42.6,11.8,19.1
データサイエンス科目,情報リテラシー,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。情報を扱う上でのあれこれを扱う。内容は簡単。,春夏 木１,福田玄明,レポート,1,3,6.7,22.7,60,6.7,4
データサイエンス科目,AI入門,【2025年度情報】2026年度の開講日時・担当教員は未確定。１年生必修。自動登録。Pythonを用いて機械学習の基本を扱う。講義前半でPythonの書き方を扱うので初めてでも安心。,春夏 金１,福田玄明,レポート,1,3,11.8,18.4,57.9,7.9,3.9
